frame_number,video_timestamp,matched_timestamp,time_difference,NDI Transform,SI Transform
377,2026-07-27 11:14:11.416613-07:00,,,,
378,2026-07-27 11:14:11.449548-07:00,,,,
379,2026-07-27 11:14:11.483435-07:00,,,,
380,2026-07-27 11:14:11.517343-07:00,,,,
381,2026-07-27 11:14:11.551253-07:00,,,,
382,2026-07-27 11:14:11.586164-07:00,,,,
383,2026-07-27 11:14:11.620072-07:00,,,,
384,2026-07-27 11:14:11.647994-07:00,,,,
385,2026-07-27 11:14:11.682923-07:00,,,,
386,2026-07-27 11:14:11.715842-07:00,,,,
387,2026-07-27 11:14:11.750751-07:00,,,,
388,2026-07-27 11:14:11.783632-07:00,,,,
389,2026-07-27 11:14:11.817542-07:00,,,,
390,2026-07-27 11:14:11.850452-07:00,,,,
391,2026-07-27 11:14:11.884362-07:00,,,,
392,2026-07-27 11:14:11.917274-07:00,,,,
393,2026-07-27 11:14:11.951183-07:00,,,,
394,2026-07-27 11:14:11.983098-07:00,,,,
395,2026-07-27 11:14:12.017009-07:00,,,,
396,2026-07-27 11:14:12.046927-07:00,,,,
397,2026-07-27 11:14:12.082831-07:00,,,,
398,2026-07-27 11:14:12.116741-07:00,,,,
399,2026-07-27 11:14:12.149652-07:00,,,,
400,2026-07-27 11:14:12.182564-07:00,,,,
401,2026-07-27 11:14:12.216474-07:00,,,,
402,2026-07-27 11:14:12.250383-07:00,,,,
403,2026-07-27 11:14:12.282297-07:00,,,,
404,2026-07-27 11:14:12.316207-07:00,,,,
405,2026-07-27 11:14:12.351114-07:00,,,,
406,2026-07-27 11:14:12.384028-07:00,,,,
407,2026-07-27 11:14:12.416938-07:00,,,,
408,2026-07-27 11:14:12.448858-07:00,,,,
409,2026-07-27 11:14:12.482761-07:00,,,,
410,2026-07-27 11:14:12.516672-07:00,,,,
411,2026-07-27 11:14:12.557586-07:00,,,,
412,2026-07-27 11:14:12.584499-07:00,,,,
413,2026-07-27 11:14:12.619396-07:00,,,,
414,2026-07-27 11:14:12.651311-07:00,,,,
415,2026-07-27 11:14:12.684222-07:00,,,,
416,2026-07-27 11:14:12.717135-07:00,,,,
