timestamp,SI Transform,NDI Transform
2026-07-18 20:49:45.167877-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85716948  0.515014   -0.00458921 -0.09155   ]
 [-0.5130293   0.85301291 -0.09575968  0.01091   ]
 [-0.04540292  0.08443667  0.9953939  -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.221215-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85724403  0.51489939 -0.00335998 -0.09154   ]
 [-0.51273757  0.8530097  -0.09733777  0.01091   ]
 [-0.04725306  0.08516501  0.99524573 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.233350-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85724403  0.51489939 -0.00335998 -0.09154   ]
 [-0.51273757  0.8530097  -0.09733777  0.01091   ]
 [-0.04725306  0.08516501  0.99524573 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.287334-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85706232  0.51519526 -0.00424565 -0.09155   ]
 [-0.51320473  0.85296611 -0.09523505  0.01091   ]
 [-0.04544325  0.08380126  0.99544576 -2.19179   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.354039-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85714786  0.51505825 -0.00354082 -0.09154   ]
 [-0.51295231  0.85298007 -0.0964621   0.01091   ]
 [-0.04666336  0.08449856  0.99533036 -2.19172   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.398298-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85726475  0.51485772 -0.0043226  -0.09155   ]
 [-0.5127907   0.85300806 -0.0970719   0.01091   ]
 [-0.04629101  0.08543291  0.99526798 -2.19176   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.453276-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85706498  0.51518994 -0.00435243 -0.09154   ]
 [-0.51319088  0.85293157 -0.09561829  0.01091   ]
 [-0.04554926  0.08418472  0.99540856 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.518985-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85717196  0.51500832 -0.0047608  -0.09154   ]
 [-0.51307763  0.85308139 -0.09488672  0.01091   ]
 [-0.0448061   0.0837769   0.99547669 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.563236-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85706886  0.51518153 -0.00457731 -0.09155   ]
 [-0.51323238  0.85298271 -0.09493697  0.01091   ]
 [-0.04500541  0.08371674  0.99547276 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.629390-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85717474  0.515003   -0.00483511 -0.09155   ]
 [-0.51303283  0.85299523 -0.09589809  0.01091   ]
 [-0.04526348  0.08468199  0.99537941 -2.19178   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.683390-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85707907  0.51515962 -0.0051015  -0.09154   ]
 [-0.51327021  0.85299897 -0.09458563  0.0109    ]
 [-0.04437512  0.08368581  0.99550366 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.696172-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85707907  0.51515962 -0.0051015  -0.09154   ]
 [-0.51327021  0.85299897 -0.09458563  0.0109    ]
 [-0.04437512  0.08368581  0.99550366 -2.19181   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.749548-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85712958  0.51509368 -0.00271736 -0.09154   ]
 [-0.51291716  0.85299881 -0.09648325  0.01091   ]
 [-0.04738001  0.08409243  0.9953309  -2.19179   ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.811205-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85713279  0.51508741 -0.00288887 -0.09154   ]
 [-0.51296657  0.85306737 -0.0956104   0.01091   ]
 [-0.04678331  0.08343271  0.99541464 -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
2026-07-18 20:49:45.865165-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 0.85725529  0.51487672 -0.00391666 -0.09155   ]
 [-0.51280826  0.85307836 -0.09635866  0.01091   ]
 [-0.04627161  0.08461247  0.99533897 -2.1918    ]
 [ 0.          0.          0.          1.        ]]"
